slug,state,statsSource,annualGrowthHouse,medianHousePrice
biddon-nsw-2827,NSW,rental-nsw,4612.1,2827240
turill-nsw-2850,NSW,rental-nsw,1220,825000
dirty-creek-nsw-2456,NSW,rental-nsw,1019.2,727500
chullora-nsw-2190,NSW,sales-abs,1009.2,1350000
blighty-nsw-2713,NSW,rental-nsw,1007.7,3600000
bumbaldry-nsw-2794,NSW,rental-nsw,858.3,1150000
leadville-nsw-2844,NSW,rental-nsw,695.5,875000
tullibigeal-nsw-2669,NSW,rental-nsw,675.9,1125000
foxground-nsw-2534,NSW,rental-nsw,597,2300000
appletree-flat-nsw-2330,NSW,rental-nsw,591.7,415000
breeza-nsw-2381,NSW,rental-nsw,545.8,387500
liston-nsw-2372,NSW,rental-nsw,522.6,1650000
llangothlin-nsw-2365,NSW,rental-nsw,477.2,3160000
trunkey-creek-nsw-2795,NSW,rental-nsw,452.6,525000
bagnoo-nsw-2446,NSW,rental-nsw,405.3,955000
martindale-nsw-2328,NSW,rental-nsw,379.4,1582000
collie-nsw-2827,NSW,rental-nsw,354.5,375000
bribbaree-nsw-2594,NSW,rental-nsw,341.7,265000
oakhampton-nsw-2320,NSW,rental-nsw,319.9,4650000
brays-creek-nsw-2484,NSW,rental-nsw,303.8,1615000
marlow-nsw-2775,NSW,rental-nsw,287.1,720000
peats-ridge-nsw-2250,NSW,rental-nsw,262.9,7984247
pindimar-nsw-2324,NSW,rental-nsw,260,900000
boree-creek-nsw-2652,NSW,rental-nsw,256.3,375000
bowden-sa-5007,SA,sales-sa,248,1455000
myola-nsw-2540,NSW,rental-nsw,246.5,1802000
glen-davis-nsw-2846,NSW,rental-nsw,246.4,727500
kiora-nsw-2537,NSW,rental-nsw,243.4,1425000
valery-nsw-2454,NSW,rental-nsw,240.2,3300000
bottle-creek-nsw-2469,NSW,rental-nsw,240,850000
arndell-park-nsw-2148,NSW,rental-nsw,237.3,9460000
carrs-creek-nsw-2460,NSW,rental-nsw,235.2,1500000
bukkulla-nsw-2360,NSW,rental-nsw,233.3,1050000
bannaby-nsw-2580,NSW,rental-nsw,228.9,2000000
gumly-gumly-nsw-2652,NSW,rental-nsw,226.3,1550000
bobin-nsw-2429,NSW,rental-nsw,220.9,800000
yarrawa-nsw-2328,NSW,rental-nsw,220,1600000
blakebrook-nsw-2480,NSW,rental-nsw,219.5,1115000
mongarlowe-nsw-2622,NSW,rental-nsw,215.2,1300000
stannum-nsw-2371,NSW,rental-nsw,213.2,595000
lower-portland-nsw-2756,NSW,rental-nsw,210,1550000
wattamondara-nsw-2794,NSW,rental-nsw,204.4,685000
premer-nsw-2381,NSW,rental-nsw,200,180000
erina-heights-nsw-2260,NSW,rental-nsw,194.7,2800000
meryla-nsw-2577,NSW,rental-nsw,189.8,1420000
kingsvale-nsw-2587,NSW,rental-nsw,189.5,1650000
bundabah-nsw-2324,NSW,rental-nsw,188.3,922500
kunama-nsw-2730,NSW,rental-nsw,186.9,900000
watsons-bay-nsw-2030,NSW,rental-nsw,183.3,8350000
nullamanna-nsw-2360,NSW,rental-nsw,182.9,580000
koreelah-nsw-2476,NSW,rental-nsw,182.7,1470000
carool-nsw-2486,NSW,rental-nsw,171.9,2175000
palmdale-nsw-2258,NSW,rental-nsw,171.7,3125000
south-arm-nsw-2449,NSW,rental-nsw,169.8,2104400
marom-creek-nsw-2480,NSW,rental-nsw,168.4,620000
springfield-sa-5062,SA,sales-sa,168.3,6572500
castle-doyle-nsw-2350,NSW,rental-nsw,166.7,2400000
lower-southgate-nsw-2460,NSW,rental-nsw,163.6,2300000
merrygoen-nsw-2831,NSW,rental-nsw,157.5,412000
burwood-heights-nsw-2136,NSW,rental-nsw,156.6,2055000
hampton-nsw-2790,NSW,rental-nsw,156.4,1410000
mount-george-nsw-2424,NSW,rental-nsw,152.6,732500
burra-nsw-2653,NSW,rental-nsw,152.2,1450000
darbys-falls-nsw-2793,NSW,rental-nsw,152,630000
breakfast-creek-nsw-2849,NSW,rental-nsw,150.8,2000000
milbrodale-nsw-2330,NSW,rental-nsw,150,3000000
boomi-nsw-2405,NSW,rental-nsw,150,250000
fordwich-nsw-2330,NSW,rental-nsw,146.6,8138000
anambah-nsw-2320,NSW,rental-nsw,145.8,848000
booral-nsw-2425,NSW,rental-nsw,145,735000
tinderry-nsw-2620,NSW,rental-nsw,143.8,1725000
austral-eden-nsw-2440,NSW,rental-nsw,143.6,1340000
tilba-tilba-nsw-2546,NSW,rental-nsw,140.4,6250000
towrang-nsw-2580,NSW,rental-nsw,138,1220000
swan-bay-nsw-2324,NSW,rental-nsw,137.5,1520000
pinkett-nsw-2370,NSW,rental-nsw,135.6,4100000
seelands-nsw-2460,NSW,rental-nsw,128.6,1200000
hillgrove-nsw-2350,NSW,rental-nsw,126.7,255000
gilberton-sa-5081,SA,rental-sa,125.6,477000
gilgai-nsw-2360,NSW,rental-nsw,124.1,670000
munni-nsw-2420,NSW,rental-nsw,123.8,940000
countegany-nsw-2630,NSW,rental-nsw,123.7,850000
woodville-sa-5011,SA,rental-sa,120,381000
alberton-sa-5014,SA,sales-sa,118.2,1615000
wisemans-ferry-nsw-2775,NSW,rental-nsw,117.4,1000000
bungwahl-nsw-2423,NSW,rental-nsw,117.1,950000
tullera-nsw-2480,NSW,rental-nsw,115.6,1455000
yarras-nsw-2795,NSW,rental-nsw,113.9,2075000
huntley-nsw-2530,NSW,rental-nsw,113.3,1011000
woodville-nsw-2321,NSW,rental-nsw,113.3,1600000
shannon-vale-nsw-2370,NSW,rental-nsw,112.4,1200000
williamtown-nsw-2318,NSW,rental-nsw,112,722500
wallaroo-nsw-2618,NSW,rental-nsw,109.2,4300000
eagleton-nsw-2324,NSW,rental-nsw,108.8,1670000
monteagle-nsw-2594,NSW,rental-nsw,106.9,300000
brierfield-nsw-2454,NSW,rental-nsw,106.3,1650000
nulkaba-nsw-2325,NSW,rental-nsw,105.9,1050000
wilcannia-nsw-2836,NSW,rental-nsw,105.4,190000
willow-tree-nsw-2339,NSW,rental-nsw,104.5,225000
commissioners-creek-nsw-2484,NSW,rental-nsw,102.6,1550000
coolagolite-nsw-2550,NSW,rental-nsw,101.9,1817500
delegate-nsw-2633,NSW,rental-nsw,101.4,352500
newrybar-nsw-2479,NSW,rental-nsw,101.2,8197145
armatree-nsw-2828,NSW,rental-nsw,100,180000
mogo-nsw-2850,NSW,rental-nsw,100,300000
garah-nsw-2405,NSW,rental-nsw,-99.3,133500
crowdy-head-nsw-2427,NSW,rental-nsw,98,1980000
whiporie-nsw-2469,NSW,rental-nsw,98,594000
hyndmans-creek-nsw-2446,NSW,rental-nsw,97.5,800000
glen-oak-nsw-2320,NSW,rental-nsw,97.1,1380000
shark-creek-nsw-2463,NSW,rental-nsw,96.9,1250000
manton-nsw-2582,NSW,rental-nsw,-95.8,75000
bunyah-nsw-2429,NSW,rental-nsw,95.7,1150000
dundee-nsw-2370,NSW,rental-nsw,95.7,450000
frazers-creek-nsw-2446,NSW,rental-nsw,94.6,1150000
terry-hie-hie-nsw-2400,NSW,rental-nsw,-94,110000
woolbrook-nsw-2354,NSW,rental-nsw,93.1,492500
fawcetts-plain-nsw-2474,NSW,rental-nsw,92.6,1690000
curra-creek-nsw-2820,NSW,rental-nsw,92.5,770000
bungawalbin-nsw-2469,NSW,rental-nsw,92.4,827500
rainbow-reach-nsw-2440,NSW,rental-nsw,92.3,1250000
collingullie-nsw-2650,NSW,rental-nsw,-92,60000
stepney-sa-5069,SA,sales-sa,91.9,1650000
tomingley-nsw-2869,NSW,rental-nsw,91.3,1100000
tyringham-nsw-2453,NSW,rental-nsw,-91.1,120000
euabalong-nsw-2877,NSW,rental-nsw,90.5,300000
khancoban-nsw-2642,NSW,rental-nsw,90.2,319000
trentham-cliffs-nsw-2738,NSW,rental-nsw,-89.5,70000
chakola-nsw-2630,NSW,rental-nsw,-89,103000
sutton-forest-nsw-2577,NSW,rental-nsw,88.3,1700000
kent-town-sa-5067,SA,sales-sa,87.9,3100000
kangy-angy-nsw-2258,NSW,rental-nsw,87.6,1510000
round-swamp-nsw-2846,NSW,rental-nsw,-87.1,265000
nashua-nsw-2479,NSW,rental-nsw,86.9,2500000
st-albans-nsw-2775,NSW,rental-nsw,86.9,925000
eumungerie-nsw-2831,NSW,rental-nsw,-86.6,112500
angus-nsw-2765,NSW,rental-nsw,-85.2,200000
glenunga-sa-5064,SA,sales-sa,85.1,2447500
bilgola-nsw-2107,NSW,rental-nsw,-84.6,215000
st-georges-sa-5064,SA,sales-sa,83.9,2850000
wyanbene-nsw-2622,NSW,rental-nsw,83.5,780000
winton-nsw-2344,NSW,rental-nsw,82.8,1700000
ewingar-nsw-2469,NSW,rental-nsw,82.7,950000
