slug,state,region,statsSource,medianHousePrice,regionMedian,regionN,deviationPct,population
springfield-sa-5062,SA,Mitcham,sales-sa,6572500,1581250,26,316,548
tennyson-sa-5022,SA,Charles Sturt,sales-sa,3720000,1140000,25,226,1137
toorak-vic-3142,VIC,Stonnington,sales-vic,5000000,2055000,9,143,12817
erindale-sa-5066,SA,Adelaide Hills,sales-sa,3075000,1335000,27,130,1172
new-farm-qld-4005,QLD,Brisbane,sales-abs,2908400,1262500,86,130,12197
byron-bay-nsw-2481,NSW,Ballina,sales-abs,2230000,1000000,5,123,6330
north-coogee-wa-6163,WA,Fremantle,sales-abs,1650000,760000,5,117,3741
ivanhoe-east-vic-3079,VIC,Banyule,sales-vic,2732500,1263500,15,116,3762
queenscliff-vic-3225,VIC,Greater Geelong,sales-vic,1450000,687500,35,111,5408
somerton-park-sa-5044,SA,Marion,sales-sa,2470000,1177560,33,110,5811
reid-act-2612,ACT,North Canberra,sales-abs,2350000,1130675,18,108,1544
portsea-vic-3944,VIC,Mornington Peninsula,sales-vic,2825000,1362500,26,107,787
bangalow-nsw-2479,NSW,Ballina,sales-abs,2050000,1000000,5,105,2752
fitzroy-sa-5082,SA,Port Adelaide Enfield,sales-sa,2160000,1055500,40,105,783
one-tree-hill-sa-5114,SA,Gawler,sales-sa,1452500,720000,9,102,1043
turner-act-2612,ACT,North Canberra,sales-abs,2195000,1130675,18,94,4470
park-orchards-vic-3114,VIC,Maroondah,sales-vic,2039500,1057750,14,93,3835
narre-warren-north-vic-3804,VIC,Yarra Ranges,sales-vic,1700000,903750,22,88,8033
henley-beach-south-sa-5022,SA,Charles Sturt,sales-sa,2111250,1140000,25,85,2799
broadbeach-waters-qld-4218,QLD,Gold Coast,sales-abs,2100000,1136250,32,85,8164
karnup-wa-6176,WA,Rockingham,sales-abs,1112000,600000,6,85,2096
glenelg-south-sa-5045,SA,West Torrens,sales-sa,2681200,1467750,22,83,2184
bundall-qld-4217,QLD,Gold Coast,sales-abs,2075000,1136250,32,83,4895
college-park-sa-5069,SA,Norwood Payneham and St Peters,sales-sa,3000000,1660500,19,81,755
st-georges-sa-5064,SA,Mitcham,sales-sa,2850000,1581250,26,80,1726
banksmeadow-nsw-2019,NSW,Bayside,sales-abs,429000,2062500,5,-79,508
rippleside-vic-3215,VIC,Greater Geelong,sales-vic,1230000,687500,35,79,994
yeppoon-qld-4703,QLD,Livingstone,sales-abs,680000,380000,7,79,7037
nyah-west-vic-3595,VIC,Swan Hill,sales-vic,70000,312500,7,-78,673
southbank-vic-3006,VIC,Port Phillip,sales-vic,418000,1840000,12,-77,22631
kew-east-vic-3102,VIC,Boroondara,sales-vic,660000,2751500,10,-76,6620
niddrie-vic-3042,VIC,Brimbank,sales-vic,1375000,780000,33,76,5901
wandana-heights-vic-3216,VIC,Greater Geelong,sales-vic,1212000,687500,35,76,2195
point-lonsdale-vic-3225,VIC,Greater Geelong,sales-vic,1200000,687500,35,75,3788
fremantle-wa-6160,WA,Fremantle,sales-abs,1330000,760000,5,75,9251
yarralumla-act-2600,ACT,Woden,sales-abs,2228000,1276000,13,75,3120
clayfield-qld-4011,QLD,Brisbane,sales-abs,2200000,1262500,86,74,10897
melbourne-vic-3000,VIC,Melbourne,sales-vic,381000,1465000,12,-74,54941
rosslyn-park-sa-5072,SA,Adelaide Hills,sales-sa,2305000,1335000,27,73,1469
connewarre-vic-3227,VIC,Surf Coast,sales-vic,2200000,1271250,12,73,953
nichols-point-vic-3501,VIC,Swan Hill,sales-vic,540000,312500,7,73,1723
burleigh-heads-qld-4220,QLD,Gold Coast,sales-abs,1955000,1136250,32,72,10572
netherby-sa-5062,SA,Mitcham,sales-sa,2700000,1581250,26,71,1510
fortitude-valley-qld-4006,QLD,Brisbane,sales-abs,378000,1262500,86,-70,9708
docklands-vic-3008,VIC,Melbourne,sales-vic,440000,1465000,12,-70,15495
melbourne-vic-3004,VIC,Melbourne,sales-vic,440000,1465000,12,-70,54941
lismore-vic-3324,VIC,Golden Plains,sales-vic,210000,706000,8,-70,577
manifold-heights-vic-3218,VIC,Golden Plains,sales-vic,1200000,706000,8,70,2681
phillip-act-2606,ACT,Woden,sales-abs,396000,1276000,13,-69,5197
brighton-vic-3186,VIC,Bayside,sales-vic,3550000,2118750,10,68,23252
eaglemont-vic-3084,VIC,Banyule,sales-vic,2120500,1263500,15,68,3960
clear-island-waters-qld-4226,QLD,Gold Coast,sales-abs,1898500,1136250,32,67,4395
traralgon-east-vic-3844,VIC,Wellington,sales-vic,735000,440000,15,67,1780
hawthorne-qld-4171,QLD,Brisbane,sales-abs,2100000,1262500,86,66,5090
kooyong-vic-3144,VIC,Stonnington,sales-vic,704000,2055000,9,-66,842
glenrowan-vic-3675,VIC,Moira,sales-vic,680000,410000,6,66,1049
lismore-nsw-2480,NSW,Ballina,sales-abs,353500,1000000,5,-65,3656
coolangatta-qld-4225,QLD,Gold Coast,sales-abs,1875000,1136250,32,65,8374
port-fairy-vic-3284,VIC,Moyne,sales-vic,918800,557000,10,65,3742
nightcliff-nt-0810,NT,Darwin,sales-abs,965000,585000,14,65,3884
beaconsfield-upper-vic-3808,VIC,Cardinia,sales-vic,1215600,742750,20,64,2997
east-melbourne-vic-3002,VIC,Melbourne,sales-vic,2400000,1465000,12,64,4896
ocean-reef-wa-6027,WA,Wanneroo,sales-abs,1050000,644500,10,63,8125
eastwood-nsw-2122,NSW,Parramatta,sales-abs,2590000,1600000,7,62,18695
humpty-doo-nt-0836,NT,Litchfield,sales-abs,690000,427000,5,62,4313
belconnen-act-2617,ACT,North Canberra,sales-abs,429000,1130675,18,-62,8502
lawson-act-2617,ACT,North Canberra,sales-abs,429000,1130675,18,-62,2739
north-brighton-sa-5048,SA,Marion,sales-sa,1900000,1177560,33,61,2665
lysterfield-vic-3156,VIC,Casey,sales-vic,1275000,792500,16,61,6681
keilor-vic-3036,VIC,Hume,sales-vic,1090000,676750,12,61,5906
ultimo-nsw-2007,NSW,Sydney,sales-abs,760000,1905000,9,-60,7410
lenswood-sa-5240,SA,Adelaide Hills,sales-sa,536000,1335000,27,-60,534
main-beach-qld-4217,QLD,Gold Coast,sales-abs,460000,1136250,32,-60,3998
ivanhoe-vic-3079,VIC,Banyule,sales-vic,2025000,1263500,15,60,17055
craigburn-farm-sa-5051,SA,Onkaparinga,sales-sa,1452500,915750,42,59,3099
rose-park-sa-5067,SA,Burnside,sales-sa,3115000,1963250,14,59,1375
middle-ridge-qld-4350,QLD,Toowoomba,sales-abs,880000,555000,6,59,7595
robertson-qld-4109,QLD,Brisbane,sales-abs,2011944,1262500,86,59,37703
donald-vic-3480,VIC,Yarriambiack,sales-vic,350000,220000,5,59,1472
westbourne-park-sa-5041,SA,Mitcham,sales-sa,2490500,1581250,26,58,2564
newlands-arm-vic-3875,VIC,East Gippsland,sales-vic,820000,520000,16,58,866
benowa-qld-4217,QLD,Gold Coast,sales-abs,1800000,1136250,32,58,9889
kent-town-sa-5067,SA,Burnside,sales-sa,3100000,1963250,14,58,1443
mermaid-waters-qld-4218,QLD,Gold Coast,sales-abs,1800000,1136250,32,58,13088
carrara-qld-4211,QLD,Scenic Rim,sales-abs,1100000,695000,8,58,13138
greenway-act-2900,ACT,Tuggeranong,sales-abs,358000,855000,15,-58,4129
joslin-sa-5070,SA,Norwood Payneham and St Peters,sales-sa,2600000,1660500,19,57,1243
