population,sharedBy,slug
14676,44,indulkana-sa-0872
14676,44,lambina-sa-0872
14676,44,simpson-nt-0872
14676,44,amata-nt-0872
14676,44,kulgera-nt-0872
14676,44,kiwirrkurra-wa-0872
14676,44,aherrenge-nt-0872
14676,44,fregon-nt-0872
14676,44,pitjantjatjara-homelands-nt-0872
14676,44,ayers-range-south-nt-0872
14676,44,telegraph-station-nt-0872
14676,44,antewenegerrde-nt-0872
14676,44,docker-river-nt-0872
14676,44,uluru-nt-0872
14676,44,urapuntja-nt-0872
14676,44,nyapari-sa-0872
14676,44,murputja-sa-0872
14676,44,watinuma-sa-0872
14676,44,indulkana-iwantja-sa-0872
14676,44,watarru-sa-0872
14676,44,yunyarinyi-sa-0872
14676,44,de-rose-hill-nt-0872
14676,44,ernabella-nt-0872
14676,44,wingellina-wa-0872
14676,44,ernabella-pukatja-nt-0872
14676,44,kings-creek-station-nt-0872
14676,44,anangu-pitjantjatjara-yankunytjatjara-nt-0872
14676,44,ayers-rock-nt-0872
14676,44,barrow-creek-nt-0872
14676,44,chilla-well-nt-0872
14676,44,erldunda-nt-0872
14676,44,hart-range-nt-0872
14676,44,imampa-nt-0872
14676,44,jay-creek-nt-0872
14676,44,ininti-store-nt-0872
14676,44,macdonnell-range-nt-0872
14676,44,mulga-bore-nt-0872
14676,44,murputja-homelands-nt-0872
14676,44,umpangara-nt-0872
14676,44,napperby-station-nt-0872
14676,44,thangkenharenge-nt-0872
14676,44,wanarn-nt-0872
14676,44,kanpa-wa-0872
14676,44,umuwa-sa-0872
25304,40,millwood-nt-0822
25304,40,koolpinyah-nt-0822
25304,40,pularumpi-nt-0822
25304,40,darwin-river-dam-nt-0822
25304,40,tivendale-nt-0822
25304,40,wak-wak-nt-0822
25304,40,bynoe-harbour-nt-0822
25304,40,collett-creek-nt-0822
25304,40,vernon-islands-nt-0822
25304,40,delissaville-nt-0822
25304,40,mandorah-nt-0822
25304,40,mickett-creek-nt-0822
25304,40,bathurst-island-nt-0822
25304,40,oenpelli-nt-0822
25304,40,border-store-nt-0822
25304,40,elrundie-nt-0822
25304,40,darwin-mc-nt-0822
25304,40,micket-creek-nt-0822
25304,40,mapuru-nt-0822
25304,40,maranunga-nt-0822
25304,40,woolaning-nt-0822
25304,40,murrumujuk-nt-0822
25304,40,sandpalms-roadhouse-nt-0822
25304,40,black-jungle-nt-0822
25304,40,croker-island-nt-0822
25304,40,goulbourn-island-nt-0822
25304,40,camp-creek-nt-0822
25304,40,charles-darwin-nt-0822
25304,40,daly-nt-0822
25304,40,pulumpa-nt-0822
25304,40,point-stephens-nt-0822
25304,40,goulburn-island-nt-0822
25304,40,fleming-nt-0822
25304,40,hayes-creek-nt-0822
25304,40,nguiu-nt-0822
25304,40,wishart-nt-0822
25304,40,glyde-point-nt-0822
25304,40,blackmore-nt-0822
25304,40,annie-river-nt-0822
25304,40,channel-island-nt-0822
10798,35,stockton-qld-4871
10798,35,croydon-qld-4871
10798,35,georgetown-qld-4871
10798,35,germantown-qld-4871
10798,35,gilberton-qld-4871
10798,35,laura-qld-4871
10798,35,mornington-island-qld-4871
10798,35,bolwarra-qld-4871
10798,35,helenvale-qld-4871
10798,35,gununa-qld-4871
10798,35,lockhart-qld-4871
10798,35,lyndhurst-qld-4871
10798,35,portland-roads-qld-4871
10798,35,camp-creek-qld-4871
10798,35,kidston-qld-4871
10798,35,four-mile-beach-qld-4871
10798,35,coralie-qld-4871
10798,35,lakeland-downs-qld-4871
10798,35,west-wellesley-islands-qld-4871
10798,35,fossilbrook-qld-4871
10798,35,bulleringa-qld-4871
10798,35,south-wellesley-islands-qld-4871
