slug,state,region,statsSource,medianHousePrice,statsUpdatedAt
frankland-river-wa-6396,WA,Cranbrook,sales-wa,283000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
taroona-tas-7053,TAS,Kingborough,abs-census-2021,393000,Wed Apr 15 2026 17:37:41 GMT+1000 (Australian Eastern Standard Time)
bonnet-hill-tas-7053,TAS,Kingborough,abs-census-2021,393000,Wed Apr 15 2026 17:02:06 GMT+1000 (Australian Eastern Standard Time)
belton-sa-5432,SA,Mount Remarkable,rental-sa,172000,Wed Jul 01 2026 12:02:17 GMT+1000 (Australian Eastern Standard Time)
lort-river-wa-6447,WA,Esperance,sales-wa,239000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
yoting-wa-6383,WA,Quairading,abs-census-2021,171000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
sandy-ridges-qld-4615,QLD,Gympie,sales-qld,303000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
north-burngup-wa-6353,WA,Dumbleyung,abs-census-2021,238000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
westella-nsw-2831,NSW,Brewarrina,rental-nsw,286000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
kearns-nsw-2558,NSW,Campbelltown,rental-nsw,970000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
yoganup-wa-6275,WA,Augusta Margaret River,sales-wa,96000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
hyden-wa-6359,WA,Kulin,sales-wa,228000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
buckingham-qld-4825,QLD,Carpentaria,abs-census-2021,338000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
fisher-qld-4825,QLD,Carpentaria,abs-census-2021,338000,Wed Jul 01 2026 12:03:36 GMT+1000 (Australian Eastern Standard Time)
lower-macdonald-nsw-2775,NSW,The Hills,rental-nsw,599000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
mount-sheridan-wa-6355,WA,Kulin,abs-census-2021,83000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
piesseville-wa-6315,WA,Wickepin,sales-wa,110000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
melrose-park-nsw-2114,NSW,Parramatta,rental-nsw,820000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
ranga-tas-7255,TAS,Flinders,abs-census-2021,191000,Wed Apr 15 2026 17:33:03 GMT+1000 (Australian Eastern Standard Time)
margate-tas-7054,TAS,Derwent Valley,abs-census-2021,372000,Wed Apr 15 2026 17:20:58 GMT+1000 (Australian Eastern Standard Time)
drummoyne-nsw-2047,NSW,Canada Bay,rental-nsw,1538000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
minto-dc-nsw-2566,NSW,Camden,rental-nsw,440000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
prospect-nsw-2148,NSW,Cumberland,rental-nsw,999044,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
minchinbury-nsw-2770,NSW,Blacktown,rental-nsw,1100000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
the-lakes-wa-6556,WA,York,sales-wa,308000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
haberfield-nsw-2045,NSW,Canada Bay,rental-nsw,2650000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
lane-cove-north-nsw-2066,NSW,Willoughby,rental-nsw,980000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
eveleigh-nsw-2015,NSW,Sydney,rental-nsw,1075000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
lane-cove-west-nsw-2066,NSW,Willoughby,rental-nsw,2350000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
north-sydney-nsw-2060,NSW,North Sydney,rental-nsw,1290000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
lochiel-nsw-2549,NSW,Bega Valley,rental-nsw,967500,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
cheltenham-nsw-2119,NSW,Parramatta,rental-nsw,2915000,Wed Jul 01 2026 12:03:08 GMT+1000 (Australian Eastern Standard Time)
mumberkine-wa-6401,WA,Goomalling,sales-wa,418000,Thu May 07 2026 00:33:51 GMT+1000 (Australian Eastern Standard Time)
