Date,Clicks,Impressions,CTR,Position
2026-06-03,7,2586,0.27%,10.2
2026-06-04,12,2636,0.46%,10.8
2026-06-05,8,1838,0.44%,12.7
2026-06-06,12,1695,0.71%,12.6
2026-06-07,10,2164,0.46%,12.6
2026-06-08,9,3104,0.29%,12.1
2026-06-09,7,2993,0.23%,13.4
2026-06-10,12,3194,0.38%,12.5
2026-06-11,10,3125,0.32%,12.6
2026-06-12,10,2267,0.44%,14
2026-06-13,10,2963,0.34%,24
2026-06-14,13,3487,0.37%,12.4
2026-06-15,10,3806,0.26%,12.7
2026-06-16,15,7791,0.19%,10.3
2026-06-17,9,24725,0.04%,9.6
2026-06-18,19,23704,0.08%,10.5
2026-06-19,10,10936,0.09%,11.7
2026-06-20,15,7724,0.19%,11.3
2026-06-21,17,14207,0.12%,10.2
2026-06-22,17,13076,0.13%,10.1
2026-06-23,8,10703,0.07%,10.1
2026-06-24,16,10001,0.16%,10.4
2026-06-25,11,9299,0.12%,10.2
2026-06-26,5,5496,0.09%,11.6
2026-06-27,7,4709,0.15%,10.9
2026-06-28,13,8868,0.15%,10.3
2026-06-29,9,9344,0.1%,9.9
2026-06-30,11,9113,0.12%,10.1
2026-07-01,18,8380,0.21%,9.8
2026-07-02,13,6701,0.19%,10.3
2026-07-03,10,4496,0.22%,11.9
2026-07-04,15,4876,0.31%,17.5
2026-07-05,15,6950,0.22%,16.8
2026-07-06,10,5811,0.17%,16.4
2026-07-07,8,4432,0.18%,12.9
2026-07-08,10,4927,0.2%,12.2
2026-07-09,7,5044,0.14%,12.5
2026-07-10,8,3309,0.24%,17.2
2026-07-11,6,2976,0.2%,14.5
2026-07-12,7,4780,0.15%,11.6
2026-07-13,13,5311,0.24%,16.5
2026-07-14,10,6247,0.16%,22.1
2026-07-15,17,5128,0.33%,17.1
2026-07-16,5,4168,0.12%,14.5
2026-07-17,11,2989,0.37%,17.3
2026-07-18,13,2653,0.49%,17.4
2026-07-19,14,4078,0.34%,13.7
2026-07-20,15,4484,0.33%,13.4
2026-07-21,7,4352,0.16%,13
2026-07-22,7,4137,0.17%,13.1
2026-07-23,8,3423,0.23%,14
2026-07-24,9,2198,0.41%,16.6
2026-07-25,9,1943,0.46%,15.4
2026-07-26,13,2983,0.44%,13.1
2026-07-27,11,3275,0.34%,14.9
2026-07-28,5,3248,0.15%,15.2
2026-07-29,8,3611,0.22%,14.2
2026-07-30,5,3710,0.13%,14.9
2026-07-31,11,2609,0.42%,15.4
2026-08-01,11,2376,0.46%,16.3
2026-08-02,13,3922,0.33%,14
2026-08-03,5,3951,0.13%,13.4
2026-08-04,11,3861,0.28%,12.8
2026-08-05,11,3613,0.3%,13.4
2026-08-06,10,3387,0.3%,13
2026-08-07,13,2383,0.55%,14.8
2026-08-08,8,2375,0.34%,12.7
2026-08-09,13,3708,0.35%,12.3
2026-08-10,7,5245,0.13%,15.3
2026-08-11,6,7015,0.09%,11.8
2026-08-12,4,5019,0.08%,13.5
2026-08-13,14,6009,0.23%,14.7
2026-08-14,11,4097,0.27%,13.6
2026-08-15,11,3899,0.28%,16
2026-08-16,15,6311,0.24%,13
2026-08-17,7,6722,0.1%,13.5
2026-08-18,16,6810,0.23%,13.1
2026-08-19,12,6960,0.17%,12.8
2026-08-20,10,6300,0.16%,13.5
2026-08-21,9,4096,0.22%,16.3
2026-08-22,6,3581,0.17%,15.4
2026-08-23,9,6253,0.14%,12.2
2026-08-24,11,6509,0.17%,12.8
2026-08-25,6,6486,0.09%,13
2026-08-26,15,6322,0.24%,12.9
2026-08-27,11,5797,0.19%,14.2
2026-08-28,9,4002,0.22%,15.6
2026-08-29,7,3737,0.19%,17.7
2026-08-30,11,6780,0.16%,14.2
2026-08-31,12,7243,0.17%,14.5
2026-09-01,11,6962,0.16%,11.8
2026-09-02,11,6666,0.17%,11.5
