Country,Clicks,Impressions,CTR,Position
Australia,925,457428,0.2%,12.46
United Kingdom,7,2952,0.24%,20.12
India,6,3416,0.18%,18.95
United States,4,19639,0.02%,10.09
New Zealand,4,1300,0.31%,13.67
Hong Kong,3,529,0.57%,9.78
Vietnam,2,1525,0.13%,32.66
Malaysia,2,674,0.3%,30.1
Philippines,1,4377,0.02%,16.67
Thailand,1,708,0.14%,26.11
Germany,1,690,0.14%,10.91
France,1,518,0.19%,15.58
Spain,1,463,0.22%,18.43
South Africa,1,204,0.49%,10.41
Fiji,1,155,0.65%,8.56
Nepal,1,129,0.78%,9.82
Switzerland,1,114,0.88%,9.15
Taiwan,1,95,1.05%,9.86
Zambia,1,12,8.33%,7.92
El Salvador,1,8,12.5%,8.25
Monaco,1,6,16.67%,8.33
Indonesia,0,1143,0%,27.88
Canada,0,968,0%,11.95
Singapore,0,735,0%,16.04
Netherlands,0,669,0%,10.62
Bangladesh,0,497,0%,32.58
United Arab Emirates,0,490,0%,8.67
Pakistan,0,486,0%,16.5
Brazil,0,458,0%,14.31
Turkey,0,439,0%,46.4
Mexico,0,431,0%,34.82
Italy,0,401,0%,11.86
Japan,0,388,0%,8.61
China,0,336,0%,8.87
Nigeria,0,247,0%,9.1
Russia,0,242,0%,30.17
Morocco,0,228,0%,37.09
Ireland,0,211,0%,11.9
South Korea,0,195,0%,10.4
Saudi Arabia,0,186,0%,28.34
Ukraine,0,182,0%,31.37
Sri Lanka,0,181,0%,8.9
Greece,0,150,0%,9.37
Argentina,0,146,0%,13.93
Algeria,0,143,0%,41.18
Jordan,0,126,0%,35.48
Colombia,0,121,0%,17.2
Egypt,0,97,0%,20.04
Sweden,0,88,0%,10.52
Belgium,0,86,0%,10.22
Austria,0,86,0%,13.34
Poland,0,85,0%,11.33
Iraq,0,81,0%,20.53
Norway,0,77,0%,15.08
Papua New Guinea,0,76,0%,9.03
Denmark,0,74,0%,10.53
Portugal,0,74,0%,11.76
Chile,0,59,0%,13.95
Kenya,0,56,0%,12
Hungary,0,53,0%,13.45
Romania,0,48,0%,10.96
Croatia,0,47,0%,9.72
Israel,0,45,0%,19.71
Qatar,0,44,0%,12.27
Iran,0,41,0%,8.32
Peru,0,41,0%,11.12
Finland,0,41,0%,11.37
Czechia,0,38,0%,13.13
Serbia,0,34,0%,8.53
Bulgaria,0,33,0%,14.97
Venezuela,0,32,0%,18.19
Cambodia,0,31,0%,9.26
Cameroon,0,29,0%,8.93
Ghana,0,29,0%,11.45
Albania,0,28,0%,9.96
Ecuador,0,27,0%,22.04
Kuwait,0,24,0%,9.21
Palestine,0,24,0%,16.71
Kazakhstan,0,23,0%,23.65
Mongolia,0,20,0%,8.75
Slovakia,0,20,0%,9.05
Lebanon,0,20,0%,9.25
Timor-Leste,0,19,0%,8.42
Dominican Republic,0,19,0%,10.37
Slovenia,0,18,0%,8.61
Solomon Islands,0,18,0%,8.72
Mauritius,0,18,0%,8.83
Tanzania,0,18,0%,14.56
Paraguay,0,18,0%,19.11
Georgia,0,17,0%,8.71
Vanuatu,0,17,0%,8.71
