slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
aberdeen-nsw-2336,"Aberdeen",2336,270,280,2026-07-01T02:02:09.916Z,sales-nsw
acacia-creek-nsw-2476,"Acacia Creek",2476,200,275,2026-07-01T02:02:09.916Z,sales-nsw
acacia-plateau-nsw-2476,"Acacia Plateau",2476,200,170,2026-07-01T02:02:09.916Z,rental-nsw
adaminaby-nsw-2629,"Adaminaby",2629,285,300,2026-07-01T02:02:09.916Z,sales-nsw
adelong-nsw-2729,"Adelong",2729,200,205,2026-07-01T02:02:09.916Z,sales-nsw
adjungbilly-nsw-2727,"Adjungbilly",2727,125,150,2026-07-01T02:02:09.916Z,rental-nsw
airly-nsw-2846,"Airly",2846,230,196,2026-07-01T02:02:09.916Z,rental-nsw
akuna-bay-nsw-2084,"Akuna Bay",2084,600,510,2026-07-01T02:02:09.916Z,rental-nsw
albert-nsw-2873,"Albert",2873,120,102,2026-07-01T02:02:09.916Z,rental-nsw
alice-nsw-2469,"Alice",2469,240,204,2026-07-01T02:02:09.916Z,sales-nsw
allgomera-creek-nsw-2441,"Allgomera Creek",2441,290,247,2026-07-01T02:02:09.916Z,rental-nsw
allgomera-nsw-2441,"Allgomera",2441,290,130,2026-07-01T02:02:09.916Z,sales-nsw
allworth-nsw-2425,"Allworth",2425,310,300,2026-07-01T02:02:09.916Z,sales-nsw
allynbrook-nsw-2311,"Allynbrook",2311,270,587,2026-07-01T02:02:09.916Z,rental-nsw
alma-park-nsw-2659,"Alma Park",2659,230,185,2026-07-01T02:02:09.916Z,rental-nsw
amosfield-nsw-4380,"Amosfield",4380,250,213,2026-07-01T02:02:09.916Z,rental-nsw
anabranch-north-nsw-2648,"Anabranch North",2648,200,170,2026-07-01T02:02:09.916Z,rental-nsw
anabranch-south-nsw-2648,"Anabranch South",2648,200,170,2026-07-01T02:02:09.916Z,rental-nsw
ando-nsw-2631,"Ando",2631,260,163,2026-07-01T02:02:09.916Z,sales-nsw
angledool-nsw-2832,"Angledool",2832,175,50,2026-07-01T02:02:09.916Z,rental-nsw
angledool-nsw-2834,"Angledool",2834,195,50,2026-07-01T02:02:09.916Z,rental-nsw
anglers-reach-nsw-2629,"Anglers Reach",2629,285,195,2026-07-01T02:02:09.916Z,sales-nsw
angus-place-nsw-2845,"Angus Place",2845,275,234,2026-07-01T02:02:09.916Z,rental-nsw
araluen-north-nsw-2622,"Araluen North",2622,350,298,2026-07-01T02:02:09.916Z,rental-nsw
araluen-nsw-2622,"Araluen",2622,350,225,2026-07-01T02:02:09.916Z,sales-nsw
arcadia-nsw-2159,"Arcadia",2159,480,485,2026-07-01T02:02:09.916Z,sales-nsw
ardglen-nsw-2338,"Ardglen",2338,250,100,2026-07-01T02:02:09.916Z,rental-nsw
ardlethan-nsw-2665,"Ardlethan",2665,150,150,2026-07-01T02:02:09.916Z,sales-nsw
argents-hill-nsw-2449,"Argents Hill",2449,250,202,2026-07-01T02:02:09.916Z,sales-nsw
argoon-nsw-2707,"Argoon",2707,180,153,2026-07-01T02:02:09.916Z,rental-nsw
ariah-park-nsw-2665,"Ariah Park",2665,150,160,2026-07-01T02:02:09.916Z,sales-nsw
armatree-nsw-2828,"Armatree",2828,160,100,2026-07-01T02:02:09.916Z,sales-nsw
armatree-nsw-2831,"Armatree",2831,250,100,2026-07-01T02:02:09.916Z,rental-nsw
arumpo-nsw-2715,"Arumpo",2715,200,25,2026-07-01T02:02:09.916Z,rental-nsw
ashford-nsw-2361,"Ashford",2361,185,185,2026-07-01T02:02:09.916Z,sales-nsw
atholwood-nsw-2361,"Atholwood",2361,185,84,2026-07-01T02:02:09.916Z,rental-nsw
attunga-nsw-2345,"Attunga",2345,290,300,2026-07-01T02:02:09.916Z,sales-nsw
aurville-nsw-2587,"Aurville",2587,220,187,2026-07-01T02:02:09.916Z,rental-nsw
babinda-nsw-2825,"Babinda",2825,200,200,2026-07-01T02:02:09.916Z,rental-nsw
back-creek-nsw-2622,"Back Creek",2622,350,298,2026-07-01T02:02:09.916Z,rental-nsw
back-creek-nsw-2729,"Back Creek",2729,200,170,2026-07-01T02:02:09.916Z,rental-nsw
badgerys-creek-nsw-2555,"Badgerys Creek",2555,505,505,2026-07-01T02:02:09.916Z,rental-nsw
bago-nsw-2730,"Bago",2730,180,345,2026-07-01T02:02:09.916Z,rental-nsw
bakers-creek-nsw-2359,"Bakers Creek",2359,190,162,2026-07-01T02:02:09.916Z,rental-nsw
