slug,state,postcode,population,medianAge,sharedInPostcode
westella-nsw-2831,NSW,2831,1845,41,5
buckingham-qld-4825,QLD,4825,19299,31,25
fisher-qld-4825,QLD,4825,19299,31,25
margate-tas-7054,TAS,7054,9609,40,4
minto-dc-nsw-2566,NSW,2566,27796,35,1
cullen-bay-nt-0820,NT,0820,19920,35,8
narrabeen-peninsula-nsw-2101,NSW,2101,19885,43,1
monash-park-nsw-2111,NSW,2111,15456,40,2
wingala-nsw-2099,NSW,2099,42917,38,3
freeburn-island-nsw-2464,NSW,2464,7058,56,2
blenheim-road-nsw-2113,NSW,2113,27637,34,2
the-rocks-nsw-2000,NSW,2000,27936,32,4
liverpool-south-nsw-2170,NSW,2170,114479,35,3
willoughby-north-nsw-2068,NSW,2068,17450,42,1
mulgrave-qld-4807,QLD,4807,10785,44,8
clare-qld-4807,QLD,4807,10785,44,8
avalon-nsw-2107,NSW,2107,15422,47,5
hmas-watson-nsw-2030,NSW,2030,14434,42,3
osborne-park-nsw-2066,NSW,2066,33844,38,1
seven-hills-west-nsw-2147,NSW,2147,37285,38,1
claredale-qld-4807,QLD,4807,10785,44,8
parkside-qld-4807,QLD,4807,10785,44,8
kalamia-qld-4807,QLD,4807,10785,44,8
boortkoi-qld-4415,QLD,4415,2166,41,4
belmont-vic-3216,VIC,3216,60123,38,2
cooneys-creek-nsw-2726,NSW,2726,255,43,3
courajago-nsw-2720,NSW,2720,8501,43,7
burra-nsw-2722,NSW,2722,3418,44,9
paynters-siding-nsw-2700,NSW,2700,4873,44,6
benarca-nsw-2710,NSW,2710,9743,47,12
mungery-nsw-2869,NSW,2869,1528,49,1
winton-qld-4735,QLD,4735,960,47,3
vergemont-qld-4730,QLD,4730,3177,39,10
eurimbula-nsw-2867,NSW,2867,636,41,2
petersham-north-nsw-2049,NSW,2049,12258,35,1
toowoomba-west-qld-4350,QLD,4350,115218,38,23
chermside-centre-qld-4032,QLD,4032,18389,36,4
nagoorin-qld-4680,QLD,4680,55339,36,21
port-wine-qld-4724,QLD,4724,559,44,9
bletchington-nsw-2800,NSW,2800,48283,37,21
bilgola-nsw-2107,NSW,2107,15422,47,5
stockyard-qld-4344,QLD,4344,2709,42,4
oxley-qld-4075,QLD,4075,25506,38,3
hurstville-westfield-nsw-2220,NSW,2220,33761,34,1
hassans-walls-nsw-2790,NSW,2790,15452,47,6
liddell-nsw-2333,NSW,2333,13795,40,1
border-ranges-nsw-2474,NSW,2474,6492,51,3
mumbulla-mountain-nsw-2550,NSW,2550,16936,63,10
dundas-qld-4306,QLD,4306,43997,34,15
myall-lake-nsw-2423,NSW,2423,3297,55,4
trida-nsw-2878,NSW,2878,286,42,4
tarwonga-wa-6391,WA,6391,1040,41,6
cromer-heights-nsw-2099,NSW,2099,42917,38,3
mungo-brush-nsw-2423,NSW,2423,3297,55,4
chaelundi-nsw-2460,NSW,2460,31079,45,20
keybarbin-nsw-2460,NSW,2460,31079,45,20
bookram-nsw-2460,NSW,2460,31079,45,20
crowther-island-nsw-2460,NSW,2460,31079,45,20
shane-park-nsw-2747,NSW,2747,54397,33,2
long-reef-nsw-2097,NSW,2097,15991,41,3
waterloo-dc-nsw-2017,NSW,2017,29003,32,1
clovass-nsw-2480,NSW,2480,45938,44,9
