slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
abminga-station-sa-5440,"Abminga Station",5440,75,64,2026-07-01T02:02:17.568Z,rental-sa
adelaide-bc-sa-5000,"Adelaide Bc",5000,400,340,2026-07-01T02:02:17.568Z,rental-sa
agery-sa-5558,"Agery",5558,250,273,2026-07-01T02:02:17.568Z,rental-sa
alawoona-sa-5311,"Alawoona",5311,155,132,2026-07-01T02:02:17.568Z,rental-sa
allandale-station-sa-5723,"Allandale Station",5723,160,136,2026-07-01T02:02:17.568Z,rental-sa
allendale-north-sa-5373,"Allendale North",5373,245,319,2026-07-01T02:02:17.568Z,rental-sa
alma-sa-5401,"Alma",5401,220,290,2026-07-01T02:02:17.568Z,rental-sa
alpana-sa-5730,"Alpana",5730,98,83,2026-07-01T02:02:17.568Z,rental-sa
altona-sa-5351,"Altona",5351,300,350,2026-07-01T02:02:17.568Z,rental-sa
alton-downs-station-sa-5733,"Alton Downs Station",5733,80,68,2026-07-01T02:02:17.568Z,rental-sa
amata-sa-0872,"Amata",0872,75,80,2026-07-01T02:02:17.568Z,rental-sa
american-beach-sa-5222,"American Beach",5222,220,187,2026-07-01T02:02:17.568Z,rental-sa
amyton-sa-5431,"Amyton",5431,150,128,2026-07-01T02:02:17.568Z,rental-sa
anangu-pitjantjatjara-yankunytjatjara-sa-5724,"Anangu Pitjantjatjara Yankunytjatjara",5724,113,46,2026-07-01T02:02:17.568Z,rental-sa
andamooka-station-sa-5722,"Andamooka Station",5722,150,330,2026-07-01T02:02:17.568Z,rental-sa
andrews-sa-5454,"Andrews",5454,150,60,2026-07-01T02:02:17.568Z,rental-sa
angas-plains-sa-5255,"Angas Plains",5255,300,220,2026-07-01T02:02:17.568Z,rental-sa
angas-valley-sa-5238,"Angas Valley",5238,215,210,2026-07-01T02:02:17.568Z,rental-sa
angepena-sa-5732,"Angepena",5732,90,77,2026-07-01T02:02:17.568Z,rental-sa
angorigina-sa-5730,"Angorigina",5730,98,83,2026-07-01T02:02:17.568Z,rental-sa
anna-creek-sa-5723,"Anna Creek",5723,160,136,2026-07-01T02:02:17.568Z,rental-sa
annadale-sa-5356,"Annadale",5356,252,214,2026-07-01T02:02:17.568Z,rental-sa
antechamber-bay-sa-5222,"Antechamber Bay",5222,220,187,2026-07-01T02:02:17.568Z,rental-sa
apamurra-sa-5237,"Apamurra",5237,225,16,2026-07-01T02:02:17.568Z,rental-sa
apoinga-sa-5413,"Apoinga",5413,200,100,2026-07-01T02:02:17.568Z,rental-sa
appila-sa-5480,"Appila",5480,200,123,2026-07-01T02:02:17.568Z,rental-sa
ararat-sa-3377,"Ararat",3377,250,213,2026-07-01T02:02:17.568Z,rental-sa
arckaringa-sa-5723,"Arckaringa",5723,160,136,2026-07-01T02:02:17.568Z,rental-sa
arcoona-sa-5720,"Arcoona",5720,100,50,2026-07-01T02:02:17.568Z,rental-sa
arkaroola-sa-5701,"Arkaroola",5701,200,75,2026-07-01T02:02:17.568Z,rental-sa
arkaroola-sa-5732,"Arkaroola",5732,90,75,2026-07-01T02:02:17.568Z,rental-sa
arkaroola-village-sa-5701,"Arkaroola Village",5701,200,170,2026-07-01T02:02:17.568Z,rental-sa
armagh-sa-5453,"Armagh",5453,250,280,2026-07-01T02:02:17.568Z,rental-sa
arthurton-sa-5572,"Arthurton",5572,170,170,2026-07-01T02:02:17.568Z,rental-sa
ashbourne-sa-5157,"Ashbourne",5157,285,350,2026-07-01T02:02:17.568Z,rental-sa
ashville-sa-5259,"Ashville",5259,150,128,2026-07-01T02:02:17.568Z,rental-sa
australia-plains-sa-5374,"Australia Plains",5374,200,233,2026-07-01T02:02:17.568Z,rental-sa
avenue-range-sa-5273,"Avenue Range",5273,120,120,2026-07-01T02:02:17.568Z,rental-sa
avoca-dell-sa-5253,"Avoca Dell",5253,240,252,2026-07-01T02:02:17.568Z,rental-sa
avon-sa-5501,"Avon",5501,290,200,2026-07-01T02:02:17.568Z,rental-sa
bagot-well-sa-5373,"Bagot Well",5373,245,450,2026-07-01T02:02:17.568Z,rental-sa
baird-bay-sa-5671,"Baird Bay",5671,100,85,2026-07-01T02:02:17.568Z,rental-sa
bakara-sa-5354,"Bakara",5354,200,170,2026-07-01T02:02:17.568Z,rental-sa
bakara-well-sa-5354,"Bakara Well",5354,200,170,2026-07-01T02:02:17.568Z,rental-sa
balah-sa-5417,"Balah",5417,183,156,2026-07-01T02:02:17.568Z,rental-sa
bald-hills-sa-5203,"Bald Hills",5203,250,213,2026-07-01T02:02:17.568Z,rental-sa
baldina-sa-5417,"Baldina",5417,183,23,2026-07-01T02:02:17.568Z,rental-sa
balgowan-sa-5573,"Balgowan",5573,180,153,2026-07-01T02:02:17.568Z,rental-sa
bangham-sa-5268,"Bangham",5268,220,100,2026-07-01T02:02:17.568Z,rental-sa
bangor-sa-5481,"Bangor",5481,155,265,2026-07-01T02:02:17.568Z,rental-sa
barabba-sa-5460,"Barabba",5460,220,187,2026-07-01T02:02:17.568Z,rental-sa
baratta-sa-5432,"Baratta",5432,120,102,2026-07-01T02:02:17.568Z,rental-sa
barinia-sa-5453,"Barinia",5453,250,280,2026-07-01T02:02:17.568Z,rental-sa
barna-sa-5641,"Barna",5641,150,128,2026-07-01T02:02:17.568Z,rental-sa
barndioota-sa-5434,"Barndioota",5434,135,115,2026-07-01T02:02:17.568Z,rental-sa
baroota-sa-5495,"Baroota",5495,189,575,2026-07-01T02:02:17.568Z,rental-sa
barossa-goldfields-sa-5351,"Barossa Goldfields",5351,300,360,2026-07-01T02:02:17.568Z,rental-sa
barunga-gap-sa-5520,"Barunga Gap",5520,150,128,2026-07-01T02:02:17.568Z,rental-sa
bayah-sa-5260,"Bayah",5260,225,191,2026-07-01T02:02:17.568Z,rental-sa
bay-of-shoals-sa-5223,"Bay Of Shoals",5223,211,280,2026-07-01T02:02:17.568Z,rental-sa
beatty-sa-5320,"Beatty",5320,180,100,2026-07-01T02:02:17.568Z,rental-sa
beaufort-sa-5550,"Beaufort",5550,223,185,2026-07-01T02:02:17.568Z,rental-sa
beaumonts-sa-5320,"Beaumonts",5320,180,153,2026-07-01T02:02:17.568Z,rental-sa
beetaloo-valley-sa-5523,"Beetaloo Valley",5523,189,150,2026-07-01T02:02:17.568Z,rental-sa
belalie-east-sa-5491,"Belalie East",5491,210,140,2026-07-01T02:02:17.568Z,rental-sa
belalie-north-sa-5491,"Belalie North",5491,210,100,2026-07-01T02:02:17.568Z,rental-sa
beltana-sa-5730,"Beltana",5730,98,83,2026-07-01T02:02:17.568Z,rental-sa
beltana-station-sa-5730,"Beltana Station",5730,98,83,2026-07-01T02:02:17.568Z,rental-sa
belton-sa-5432,"Belton",5432,120,102,2026-07-01T02:02:17.568Z,rental-sa
belvidere-sa-5255,"Belvidere",5255,300,315,2026-07-01T02:02:17.568Z,rental-sa
benbournie-sa-5453,"Benbournie",5453,250,235,2026-07-01T02:02:17.568Z,rental-sa
benda-sa-5440,"Benda",5440,75,64,2026-07-01T02:02:17.568Z,rental-sa
bethel-sa-5373,"Bethel",5373,245,250,2026-07-01T02:02:17.568Z,rental-sa
bexley-sa-2207,"Bexley",2207,480,408,2026-07-01T02:02:17.568Z,rental-sa
bibaringa-sa-5118,"Bibaringa",5118,280,309,2026-07-01T02:02:17.568Z,rental-sa
bibliando-sa-5432,"Bibliando",5432,120,102,2026-07-01T02:02:17.568Z,rental-sa
big-bend-sa-5238,"Big Bend",5238,215,183,2026-07-01T02:02:17.568Z,rental-sa
billa-kalina-sa-5720,"Billa Kalina",5720,100,85,2026-07-01T02:02:17.568Z,rental-sa
billeroo-west-sa-5440,"Billeroo West",5440,75,64,2026-07-01T02:02:17.568Z,rental-sa
billiatt-sa-5311,"Billiatt",5311,155,132,2026-07-01T02:02:17.568Z,rental-sa
bimbowrie-sa-5440,"Bimbowrie",5440,75,64,2026-07-01T02:02:17.568Z,rental-sa
bindarrah-sa-5440,"Bindarrah",5440,75,64,2026-07-01T02:02:17.568Z,rental-sa
binnum-sa-5262,"Binnum",5262,200,200,2026-07-01T02:02:17.568Z,rental-sa
birchmore-sa-5223,"Birchmore",5223,211,225,2026-07-01T02:02:17.568Z,rental-sa
blackfellows-creek-sa-5201,"Blackfellows Creek",5201,340,289,2026-07-01T02:02:17.568Z,rental-sa
blackford-sa-5275,"Blackford",5275,200,150,2026-07-01T02:02:17.568Z,rental-sa
black-hill-sa-5353,"Black Hill",5353,250,275,2026-07-01T02:02:17.568Z,rental-sa
black-hill-station-sa-5434,"Black Hill Station",5434,135,115,2026-07-01T02:02:17.568Z,rental-sa
black-point-sa-5571,"Black Point",5571,230,293,2026-07-01T02:02:17.568Z,rental-sa
black-rock-sa-5431,"Black Rock",5431,150,128,2026-07-01T02:02:17.568Z,rental-sa
black-springs-sa-5413,"Black Springs",5413,200,163,2026-07-01T02:02:17.568Z,rental-sa
blair-athol-west-sa-5084,"Blair Athol West",5084,290,247,2026-07-01T02:02:17.568Z,rental-sa
bletchley-sa-5255,"Bletchley",5255,300,100,2026-07-01T02:02:17.568Z,rental-sa
blinman-sa-5730,"Blinman",5730,98,114,2026-07-01T02:02:17.568Z,rental-sa
bluff-beach-sa-5575,"Bluff Beach",5575,200,250,2026-07-01T02:02:17.568Z,rental-sa
boatswain-point-sa-5275,"Boatswain Point",5275,200,200,2026-07-01T02:02:17.568Z,rental-sa
bockelberg-sa-5655,"Bockelberg",5655,55,47,2026-07-01T02:02:17.568Z,rental-sa
boconnoc-park-sa-5453,"Boconnoc Park",5453,250,213,2026-07-01T02:02:17.568Z,rental-sa
bollards-lagoon-sa-5731,"Bollards Lagoon",5731,84,71,2026-07-01T02:02:17.568Z,rental-sa
bolto-sa-5238,"Bolto",5238,215,183,2026-07-01T02:02:17.568Z,rental-sa
bon-bon-sa-5719,"Bon Bon",5719,330,281,2026-07-01T02:02:17.568Z,rental-sa
bonython-sa-5238,"Bonython",5238,215,183,2026-07-01T02:02:17.568Z,rental-sa
booborowie-sa-5417,"Booborowie",5417,183,200,2026-07-01T02:02:17.568Z,rental-sa
bookabie-sa-5690,"Bookabie",5690,160,136,2026-07-01T02:02:17.568Z,rental-sa
bookpurnong-sa-5333,"Bookpurnong",5333,225,243,2026-07-01T02:02:17.568Z,rental-sa
boolcoomatta-sa-5440,"Boolcoomatta",5440,75,64,2026-07-01T02:02:17.568Z,rental-sa
boolgun-sa-5330,"Boolgun",5330,200,170,2026-07-01T02:02:17.568Z,rental-sa
bool-lagoon-sa-5271,"Bool Lagoon",5271,225,100,2026-07-01T02:02:17.568Z,rental-sa
boonerdo-sa-5633,"Boonerdo",5633,123,105,2026-07-01T02:02:17.568Z,rental-sa
boors-plain-sa-5554,"Boors Plain",5554,250,200,2026-07-01T02:02:17.568Z,rental-sa
bordertown-south-sa-5268,"Bordertown South",5268,220,380,2026-07-01T02:02:17.568Z,rental-sa
borrika-sa-5309,"Borrika",5309,135,150,2026-07-01T02:02:17.568Z,rental-sa
bosworth-sa-5720,"Bosworth",5720,100,85,2026-07-01T02:02:17.568Z,rental-sa
bower-sa-5374,"Bower",5374,200,170,2026-07-01T02:02:17.568Z,rental-sa
bowhill-sa-5238,"Bowhill",5238,215,160,2026-07-01T02:02:17.568Z,rental-sa
bowillia-sa-5461,"Bowillia",5461,227,193,2026-07-01T02:02:17.568Z,rental-sa
