id,suburbSlug,suburbName,postcode,state,period,periodDate,medianRentHouse,medianRentUnit,medianRent3Bed,medianRent2Bed,medianRent1Bed,bondLodgements,source,createdAt,updatedAt
"cmopedezh00002aevgyw6utqk",,"Albert Park-Middle Park-West St Kilda","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"698",,,,,,"rental-vic",2026-05-03T06:36:21.149Z,2026-05-03T06:36:21.149Z
"cmopedl71001g2aevjw96w935","altona-vic-3018","Altona","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"550",,,,,,"rental-vic",2026-05-03T06:36:29.197Z,2026-05-03T06:36:29.197Z
"cmopedf4b00012aev9s6bpdmx","armadale-vic-3143","Armadale","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"625",,,,,,"rental-vic",2026-05-03T06:36:21.323Z,2026-05-03T06:36:21.323Z
"cmopedjpl00132aev6sbd0xxn",,"Aspendale-Chelsea-Carrum","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"620",,,,,,"rental-vic",2026-05-03T06:36:27.273Z,2026-05-03T06:36:27.273Z
"cmopedtg0003h2aevyqpxvubi","bairnsdale-vic-3875","Bairnsdale","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"460",,,,,,"rental-vic",2026-05-03T06:36:39.888Z,2026-05-03T06:36:39.888Z
"cmopedsjg00392aevfmz34thj","ballarat-vic-3350","Ballarat","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"400",,,,,,"rental-vic",2026-05-03T06:36:38.716Z,2026-05-03T06:36:38.716Z
"cmopedhnd000m2aevxrh5c3jf","balwyn-vic-3103","Balwyn","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"740",,,,,,"rental-vic",2026-05-03T06:36:24.601Z,2026-05-03T06:36:24.601Z
"cmopedpfq002h2aevqdfudvo0","bayswater-vic-3153","Bayswater","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"550",,,,,,"rental-vic",2026-05-03T06:36:34.694Z,2026-05-03T06:36:34.694Z
"cmopedrrj00322aevem2i105e",,"Belmont-Grovedale","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"500",,,,,,"rental-vic",2026-05-03T06:36:37.711Z,2026-05-03T06:36:37.711Z
"cmopedtk8003i2aevvq3hb67n",,"Benalla","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"450",,,,,,"rental-vic",2026-05-03T06:36:40.040Z,2026-05-03T06:36:40.040Z
"cmopedszv003d2aevtkpytmf1","bendigo-vic-3550","Bendigo","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"470",,,,,,"rental-vic",2026-05-03T06:36:39.307Z,2026-05-03T06:36:39.307Z
"cmopedjtu00142aevluqeed15","bentleigh-vic-3204","Bentleigh","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"700",,,,,,"rental-vic",2026-05-03T06:36:27.426Z,2026-05-03T06:36:27.426Z
"cmopedqb5002p2aevgo6b7q4m","berwick-vic-3806","Berwick","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"600",,,,,,"rental-vic",2026-05-03T06:36:35.825Z,2026-05-03T06:36:35.825Z
"cmopedhru000n2aevn0emhodj","blackburn-vic-3130","Blackburn","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"600",,,,,,"rental-vic",2026-05-03T06:36:24.762Z,2026-05-03T06:36:24.762Z
"cmopedpja002i2aevtgmr71m5","boronia-vic-3155","Boronia","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"560",,,,,,"rental-vic",2026-05-03T06:36:34.822Z,2026-05-03T06:36:34.822Z
"cmopedhvx000o2aevlo15mg1j","box-hill-vic-3128","Box Hill","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"610",,,,,,"rental-vic",2026-05-03T06:36:24.909Z,2026-05-03T06:36:24.909Z
"cmopedjy000152aevrzdxbqou","brighton-vic-3186","Brighton","","VIC","2025-Q3",2025-09-01T00:00:00.000Z,"825",,,,,,"rental-vic",2026-05-03T06:36:27.576Z,2026-05-03T06:36:27.576Z
