slug,name,postcode,medianRentHouse,medianRentUnit,rentalUpdatedAt,statsSource
abbeyard-vic-3737,"Abbeyard",3737,250,213,2026-05-03T06:36:43.056Z,rental-vic
aberfeldie-vic-3040,"Aberfeldie",3040,385,440,2026-05-03T06:36:43.056Z,sales-vic
aberfeldy-vic-3825,"Aberfeldy",3825,215,183,2026-05-03T06:36:43.056Z,rental-vic
acheron-vic-3714,"Acheron",3714,250,271,2026-05-03T06:36:43.056Z,rental-vic
adams-estate-vic-3984,"Adams Estate",3984,300,300,2026-05-03T06:36:43.056Z,rental-vic
ada-vic-3833,"Ada",3833,250,213,2026-05-03T06:36:43.056Z,rental-vic
addington-vic-3352,"Addington",3352,322,150,2026-05-03T06:36:43.056Z,rental-vic
adelaide-lead-vic-3465,"Adelaide Lead",3465,240,204,2026-05-03T06:36:43.056Z,rental-vic
agnes-vic-3962,"Agnes",3962,240,195,2026-05-03T06:36:43.056Z,rental-vic
ailsa-vic-3393,"Ailsa",3393,180,153,2026-05-03T06:36:43.056Z,rental-vic
aintree-vic-3336,"Aintree",3336,421,420,2026-05-03T06:36:43.056Z,sales-vic
aire-valley-vic-3237,"Aire Valley",3237,195,166,2026-05-03T06:36:43.056Z,rental-vic
aireys-inlet-vic-3231,"Aireys Inlet",3231,350,350,2026-05-03T06:36:43.056Z,sales-vic
airly-vic-3851,"Airly",3851,205,330,2026-05-03T06:36:43.056Z,rental-vic
airport-west-vic-3042,"Airport West",3042,410,401,2026-05-03T06:36:43.056Z,sales-vic
albacutya-vic-3424,"Albacutya",3424,100,85,2026-05-03T06:36:43.056Z,rental-vic
albanvale-vic-3021,"Albanvale",3021,325,325,2026-05-03T06:36:43.056Z,sales-vic
alberton-vic-3971,"Alberton",3971,236,201,2026-05-03T06:36:43.056Z,rental-vic
alberton-west-vic-3971,"Alberton West",3971,236,210,2026-05-03T06:36:43.056Z,rental-vic
albion-vic-3020,"Albion",3020,340,289,2026-05-03T06:36:43.056Z,sales-vic
alexandra-vic-3714,"Alexandra",3714,250,213,2026-05-03T06:36:43.056Z,sales-vic
allambee-reserve-vic-3871,"Allambee Reserve",3871,258,100,2026-05-03T06:36:43.056Z,rental-vic
allambee-south-vic-3871,"Allambee South",3871,258,260,2026-05-03T06:36:43.056Z,rental-vic
allambee-vic-3823,"Allambee",3823,320,272,2026-05-03T06:36:43.056Z,rental-vic
allans-flat-vic-3691,"Allans Flat",3691,340,340,2026-05-03T06:36:43.056Z,rental-vic
allansford-vic-3277,"Allansford",3277,250,268,2026-05-03T06:36:43.056Z,sales-vic
allendale-vic-3364,"Allendale",3364,207,187,2026-05-03T06:36:43.056Z,rental-vic
allestree-vic-3305,"Allestree",3305,250,263,2026-05-03T06:36:43.056Z,rental-vic
alma-vic-3465,"Alma",3465,240,204,2026-05-03T06:36:43.056Z,rental-vic
almonds-vic-3727,"Almonds",3727,210,179,2026-05-03T06:36:43.056Z,rental-vic
almurta-vic-3979,"Almurta",3979,200,275,2026-05-03T06:36:43.056Z,rental-vic
altona-east-vic-3025,"Altona East",3025,400,340,2026-05-03T06:36:43.056Z,sales-vic
altona-gate-vic-3025,"Altona Gate",3025,400,340,2026-05-03T06:36:43.056Z,rental-vic
altona-meadows-vic-3028,"Altona Meadows",3028,341,341,2026-05-03T06:36:43.056Z,sales-vic
altona-north-vic-3025,"Altona North",3025,400,400,2026-05-03T06:36:43.056Z,sales-vic
alvie-vic-3249,"Alvie",3249,250,250,2026-05-03T06:36:43.056Z,rental-vic
amherst-vic-3371,"Amherst",3371,190,200,2026-05-03T06:36:43.056Z,rental-vic
amor-vic-3825,"Amor",3825,215,183,2026-05-03T06:36:43.056Z,rental-vic
amphitheatre-vic-3377,"Amphitheatre",3377,250,233,2026-05-03T06:36:43.056Z,rental-vic
amphitheatre-vic-3468,"Amphitheatre",3468,233,233,2026-05-03T06:36:43.056Z,rental-vic
anakie-vic-3213,"Anakie",3213,350,300,2026-05-03T06:36:43.056Z,rental-vic
anakie-vic-3221,"Anakie",3221,370,300,2026-05-03T06:36:43.056Z,rental-vic
ancona-vic-3715,"Ancona",3715,271,295,2026-05-03T06:36:43.056Z,rental-vic
anderson-vic-3995,"Anderson",3995,280,260,2026-05-03T06:36:43.056Z,rental-vic
angip-vic-3393,"Angip",3393,180,153,2026-05-03T06:36:43.056Z,rental-vic
anglers-rest-vic-3898,"Anglers Rest",3898,231,196,2026-05-03T06:36:43.056Z,rental-vic
anglesea-vic-3230,"Anglesea",3230,405,405,2026-05-03T06:36:43.056Z,sales-vic
