page,clicks,impressions,ctr,position
https://www.yourpropertyguide.com.au/,96,2189,0.0439,12.2
https://www.yourpropertyguide.com.au/suburbs/balwyn-north-vic-3104/vs/balwyn-vic-3103,7,430,0.0163,39.9
https://www.yourpropertyguide.com.au/suburbs/donnybrook-vic-3064/finn-avenue,7,17,0.4118,5
https://www.yourpropertyguide.com.au/suburbs/morayfield-qld-4506,7,12650,0.0006,10.1
https://www.yourpropertyguide.com.au/suburbs/walloon-qld-4306/wickham-way,7,287,0.0244,7.2
https://www.yourpropertyguide.com.au/best-suburbs/lowest-flood-risk/nsw,6,88,0.0682,9.4
https://www.yourpropertyguide.com.au/best-suburbs/lowest-flood-risk/qld,6,53,0.1132,9.2
https://www.yourpropertyguide.com.au/property/15-bellaroi-parade-gilead-nsw-2560,6,11,0.5455,3.8
https://www.yourpropertyguide.com.au/property/42-falcon-rise-moama-nsw-2731,6,29,0.2069,4.8
https://www.yourpropertyguide.com.au/suburbs/badagarang-nsw-2540,6,830,0.0072,5.8
https://www.yourpropertyguide.com.au/guides/real-estate-commission-nsw,5,659,0.0076,26.1
https://www.yourpropertyguide.com.au/property/10-caroona-close-adamstown-heights-nsw-2289,5,104,0.0481,8.8
https://www.yourpropertyguide.com.au/property/105-darley-road-upper-caboolture-qld-4510,5,54,0.0926,9.0
https://www.yourpropertyguide.com.au/property/423-kangaroo-creek-road-coutts-crossing-nsw-2460,5,11,0.4545,4.1
https://www.yourpropertyguide.com.au/property/52-hensley-street-pinnaroo-sa-5304,5,64,0.0781,7.0
https://www.yourpropertyguide.com.au/property/6-ollis-street-quindalup-wa-6281,5,73,0.0685,5.7
https://www.yourpropertyguide.com.au/suburbs/tarneit-vic-3029/dublin-street,5,63,0.0794,10.0
https://www.yourpropertyguide.com.au/best-suburbs/highest-growth/tas,4,117,0.0342,12.3
https://www.yourpropertyguide.com.au/best-suburbs/highest-growth/wa,4,273,0.0147,24.4
https://www.yourpropertyguide.com.au/property/17-kardak-street-tarneit-vic-3029,4,29,0.1379,8.3
https://www.yourpropertyguide.com.au/property/8-madison-drive-adamstown-heights-nsw-2289,4,102,0.0392,6.3
https://www.yourpropertyguide.com.au/property/unit-106-15-yarraman-avenue-randwick-nsw-2031,4,41,0.0976,9.0
https://www.yourpropertyguide.com.au/suburbs/buderim-qld-4556,4,11285,0.0004,8.6
https://www.yourpropertyguide.com.au/suburbs/humpybong-qld-4019,4,184,0.0217,9.1
https://www.yourpropertyguide.com.au/best-suburbs/highest-growth/qld,3,145,0.0207,17.3
https://www.yourpropertyguide.com.au/best-suburbs/lowest-flood-risk,3,102,0.0294,7.9
https://www.yourpropertyguide.com.au/find-your-suburb,3,77,0.039,19.8
https://www.yourpropertyguide.com.au/guides/real-estate-commission-tas,3,829,0.0036,13.9
https://www.yourpropertyguide.com.au/guides/real-estate-commission-vic,3,2719,0.0011,41.3
https://www.yourpropertyguide.com.au/property/10-cactus-court-kingscliff-nsw-2487,3,44,0.0682,9.8
https://www.yourpropertyguide.com.au/property/12-holland-way-mons-qld-4556,3,23,0.1304,8.7
https://www.yourpropertyguide.com.au/property/32-toohey-crescent-adamstown-heights-nsw-2289,3,29,0.1034,9.3
https://www.yourpropertyguide.com.au/property/4-kardak-street-tarneit-vic-3029,3,11,0.2727,5.8
https://www.yourpropertyguide.com.au/property/unit-927-13-oscar-place-eastgardens-nsw-2036,3,12,0.25,6.9
https://www.yourpropertyguide.com.au/suburbs/arundel-qld-4214,3,5144,0.0006,7.6
