query,page,clicks,impressions,ctr,position
your property guide,https://www.yourpropertyguide.com.au/,47,86,0.5465,1.2
badagarang postcode,https://www.yourpropertyguide.com.au/suburbs/badagarang-nsw-2540,3,382,0.0079,3.5
property guide,https://www.yourpropertyguide.com.au/,3,582,0.0052,8.0
23 verrall way walloon,https://www.yourpropertyguide.com.au/suburbs/walloon-qld-4306/verrall-way,2,20,0.1,8.3
8 madison drive adamstown heights,https://www.yourpropertyguide.com.au/property/8-madison-drive-adamstown-heights-nsw-2289,2,28,0.0714,5.8
badagarang,https://www.yourpropertyguide.com.au/suburbs/badagarang-nsw-2540,2,24,0.0833,17.7
casuarina nsw postcode,https://www.yourpropertyguide.com.au/suburbs/casuarina-nsw-2487,2,46,0.0435,7.6
morayfield postcode,https://www.yourpropertyguide.com.au/suburbs/morayfield-qld-4506,2,7372,0.0003,9.4
propertyguide,https://www.yourpropertyguide.com.au/,2,38,0.0526,3.8
your property guide,https://yourpropertyguide.com.au/,2,2,1,1.5
1 kirby place bankstown,https://www.yourpropertyguide.com.au/suburbs/bankstown-aerodrome-nsw-2200/kirby-place,1,1,1,18
10 caroona close adamstown heights,https://www.yourpropertyguide.com.au/property/10-caroona-close-adamstown-heights-nsw-2289,1,29,0.0345,9.5
10 lehmann court buderim,https://www.yourpropertyguide.com.au/property/10-lehmann-court-buderim-qld-4556,1,68,0.0147,10.2
112 slopes road north richmond,https://www.yourpropertyguide.com.au/suburbs/north-richmond-nsw-2754/slopes-road,1,1,1,20
12 charles conder place berwick,https://www.yourpropertyguide.com.au/property/12-charles-conder-place-berwick-vic-3806,1,5,0.2,10
13 glenbrae court berwick,https://www.yourpropertyguide.com.au/suburbs/berwick-vic-3806/glenbrae-court,1,1,1,16
14 bryce court redcliffe,https://www.yourpropertyguide.com.au/suburbs/redcliffe-qld-4020/bryce-court,1,1,1,15
17 ollis street quindalup,https://www.yourpropertyguide.com.au/property/17-ollis-street-quindalup-wa-6281,1,16,0.0625,9.4
